episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3657642.6337432624,178747.5084671365,14035,20002,141334.54053925723,10.070148951853026,0.40149266605802925
2,3694700.847843743,174883.3596330416,14054,21009,136762.04641855543,9.731183038178129,0.5713655384490786
3,3741673.594455746,170048.1986076189,13825,22205,133056.04261656918,9.62430688004117,0.157300139420827
4,3758150.56301533,167971.0028929369,13486,23122,123732.32697519538,9.174872236037029,0.28401172966344596
5,3770874.141130026,167417.02322132187,13302,23878,117618.85553656891,8.842193319543595,0.4598371758319902
6,3785059.0413971795,157881.91529172676,12554,24897,109760.07233609448,8.74303587192086,0.22445345949943174
7,3760050.0172895826,156721.5523642884,12266,25077,104214.71687418803,8.496226714021525,0.1828112744597595
8,3799104.0654116543,156418.5089476112,12102,25594,102120.29054569123,8.438298673416892,0.6098198340409543
9,3768638.826837736,158161.1711185507,12297,25384,102681.29301595464,8.350109214926782,0.3793496930316339
10,3800178.6718045427,159207.44694828495,12171,25840,98453.917611379,8.089221724704544,0.6106055367747842
11,3782018.7124878643,154916.70897348403,11885,25934,94725.98424632518,7.970213230654202,0.5814899367309465
12,3797017.0804015384,153372.1259651781,11422,26549,89390.60191353897,7.826177719623443,0.5760021858891311
13,3809133.65423052,154653.99451486877,11694,26536,90383.56071361245,7.7290542768609924,0.4009889572853652
14,3797570.0150286625,153470.75736535943,11399,26794,85593.91455088057,7.508896793655634,0.4503134810636213
15,3823460.932497142,153347.90382725373,11221,27166,82444.44963149414,7.347335320514583,0.24906417448524726
16,3760751.5947388895,153840.7822987741,11270,26757,81161.25915545024,7.201531424618477,0.16108371986517542
17,3779877.8504387573,157525.36677782115,11587,26745,83329.12866145167,7.191605131738299,0.16908492105982723
18,3788468.750734253,152802.79425980066,11143,27199,78579.18321567732,7.0518875720790914,0.3591742365206337
19,3777089.7885227366,155196.63866756367,11251,27129,76665.81349510996,6.81413327660741,0.37907144820748684
20,3762478.0853181165,155189.1371227835,11259,27068,76677.78713895028,6.810355017226244,0.2343811213637524
21,3775897.8224242465,151671.83261090305,10981,27482,76134.8523444002,6.933325957963774,0.24689167112829943
22,3783237.8038524934,150566.06124814355,10894,27604,75330.6323006785,6.914873535953598,0.42831308714340505
23,3769785.736410046,151322.3139970581,11000,27526,74660.84239484055,6.787349308621868,0.529184476708034
24,3768173.7594412537,152299.94712039162,11038,27460,74614.32854198247,6.759768847796926,0.28321831887309695
25,3768182.083333696,150078.35851964462,10756,27747,71825.07305649681,6.677675070332541,0.11852618904777235
26,3784791.240611299,151457.34296738857,10982,27784,74543.13875496411,6.78775621516701,0.4205216925161121
27,3760038.719451481,150908.04576600913,10874,27764,72373.80056735744,6.655674137148927,0.5902668253050565
28,3728491.881348806,148645.70662213332,10567,27901,68225.18188071228,6.456438145236328,0.25132348855544273
29,3752360.9348544516,151254.51749904602,10884,27772,71493.0758599894,6.568639825430853,0.31910969211716955
30,3759693.8689682838,153967.11045528678,11058,27879,72109.5351131711,6.5210286772627155,0.10712224161342421
31,3735746.1828513895,152457.66536604933,10861,27778,69629.01953518555,6.410921603460598,0.49196438916774166
32,3742068.553872579,147909.30800262553,10498,28194,66597.28784816495,6.343807186908454,0.3771993831187609
33,3744736.814105217,147883.85810146117,10331,28295,63797.39081915265,6.17533547760649,0.3614555693065391
34,3731984.58582755,147272.50563968555,10366,28226,65206.57579601825,6.29042791780998,0.23361195313154384
35,3742946.6280113035,148708.0478187977,10383,28491,63841.92876384104,6.148697752464706,0.10926492939233057
36,3750873.043177977,147166.08936451725,10402,28485,65457.07441871507,6.292739321160841,0.49277840170763243
37,3736023.531178348,148989.84183718674,10560,28329,65231.91046061078,6.177264248163899,0.21307494322761666
38,3722607.513131512,152535.97482372366,10596,28226,62651.65091578332,5.912764337087894,0.5538574908282091
39,3727477.2257991484,151538.195749309,10495,28370,61785.65392306702,5.887151398100716,0.35292397295422817
40,3725982.789743601,151529.90830924668,10479,28372,61026.055323421606,5.823652574045386,0.38150239226811344
41,3734658.998302399,150483.99163972837,10353,28487,59906.748075851654,5.786414379972149,0.35913865820687296
42,3739024.755751463,155418.31846513206,10615,28296,59633.61207125485,5.617862653910019,0.42892739899700627
43,3745611.308583666,155239.55612439124,10650,28323,60434.69503510285,5.6746192521223335,0.39959115106242676
44,3750546.168575257,152152.76072532593,10431,28609,59266.28052146641,5.681744849148347,0.4025445112111298
45,3772696.009030581,154276.45334096608,10444,28643,57826.949440773504,5.536858429794476,0.34290179221529726
46,3736361.137474893,156054.74539057308,10612,28339,56739.70842242336,5.346749757107365,0.3382222053571492
47,3749264.291623389,157717.48799958848,10656,28300,55759.39618054236,5.23267606799384,0.3423466700063156
48,3722250.0501400842,151336.66850755922,10269,28407,55029.44888458299,5.358793347412893,0.38464817510379373
49,3742458.151918171,161384.77958074995,10877,28218,56306.59987702919,5.176666348904035,0.32499869147636606
50,3731672.6583254207,157487.55532928417,10612,28277,55313.431241833714,5.21234745965263,0.4655840425304769
51,3744360.918024762,159066.14832946192,10726,28332,55628.13313105367,5.186288749865157,0.30744778547969254
52,3743809.1662344765,159113.81823420874,10699,28333,55942.81519691379,5.228789157576763,0.42809131531393313
53,3721703.0663723084,159420.38858705695,10785,28091,56447.31330033081,5.23387235051746,0.20277417390472796
54,3736439.926910494,161547.29853182196,10973,28078,57504.66672230666,5.240560167894529,0.34313424728835884
55,3733396.6266452814,160980.75964356316,10896,28150,57110.4637649528,5.2414155437732015,0.5607357218075424
56,3730411.9990475937,159199.00348255128,10630,28329,52757.13894975517,4.963042234219677,0.44362916888865245
57,3739824.341199008,158863.29944621198,10667,28380,54084.981630910916,5.07030858075475,0.46395321244176124
58,3737397.7455417486,160012.2936108804,10828,28287,55420.6028762233,5.118267720375259,0.40204904116199947
59,3722053.022181078,162474.95774991886,11023,28027,55906.480570200794,5.071802646303256,0.4434318757083034
60,3732444.6723307306,165635.74729571407,11137,28025,55088.36022663797,4.9464272449167614,0.21754490351175335
61,3728997.5090963724,162179.68529447168,10944,28158,54220.63986046179,4.954371332279038,0.5542773436116871
62,3723659.4862029576,158445.46629288598,10673,28313,53055.48750297812,4.971000421903693,0.42646434883192824
63,3698034.982393899,161809.86586039347,10806,28138,52333.006061701744,4.842958177096219,0.4139332298735127
64,3728238.753853797,156730.86774522328,10473,28654,51984.00035363326,4.963620772809439,0.3618469646437157
65,3719410.1990947677,161057.73093322906,10795,28330,52836.41806194182,4.894526916344772,0.4194065383088361
