episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,4000924.1244424293,200605.12456728294,16372,21477,163263.83961521366,9.97213777273477,0.5478933627647931
2,4219176.266591192,221132.4449600313,18060,22811,170538.67461852124,9.44289449714957,0.3573536987141279
3,4409855.268182375,234418.2616486025,19406,24299,177276.27675223877,9.135127112864,0.5221783261179425
4,4523160.804053263,244624.89964249922,20031,25216,176616.62792115123,8.817164790632082,0.3662516031562971
5,4598897.857373504,244262.78132826104,20005,26671,170180.39385894287,8.506892969704717,0.7846220758167157
6,4681184.280584602,255224.69324120332,20255,27650,162427.78848909595,8.019145321604343,0.41099919022828857
7,4756904.855709915,242793.9112237667,19264,29515,152896.34337653455,7.93689490119054,0.6242312394971219
8,4783346.870525694,241067.44999340983,18895,30344,145678.41118918007,7.709892097866106,0.17617623881395847
9,4817692.508748954,235906.47660995426,18444,31190,142054.45010901216,7.7019328838111125,0.17996675478960608
10,4872039.310122986,228517.73853121622,17596,32619,131726.06568459133,7.486136945021103,0.46740764279656877
11,4868535.960545526,232427.48993392067,17873,32548,131559.48437463737,7.360794739251237,0.40366523511238944
12,4918577.975318742,219864.30362393294,16466,34151,117724.22676231542,7.149533995039197,0.5408447959767452
13,4906532.238596606,223804.0086912701,16820,33734,120219.73174012911,7.1474275707567845,0.6342578287750271
14,4905857.604655687,228775.68718835057,17064,33811,116894.8997555875,6.850380904570294,0.4150747543163587
15,4893030.729194783,221583.68294514634,16418,34364,109694.10180821217,6.681331575600693,0.5078887705024158
16,4910937.590742505,221624.07558506393,16363,34815,109423.4375807177,6.687247911795985,0.616354502671508
17,4921645.559913461,226820.49610836428,16428,34992,102941.9644461541,6.266250575003293,0.19529666080024471
18,4908042.353964726,220490.49087425234,16002,35110,101848.3124429706,6.364723937193513,0.24959103766813862
19,4940811.005480582,218673.8486114501,15610,35973,96135.349668361,6.158574610401089,0.3230716724369998
20,4897323.2612836305,222382.5246432584,15927,35204,98052.01796286908,6.156339421288949,0.435845692330904
21,4928624.765650946,221888.26544787854,15812,35655,96263.5989084657,6.088009037975317,0.4694823942219745
22,4918823.312587339,222010.32915039675,15628,35789,92474.28099235964,5.917217877678502,0.38098382123604874
23,4937908.413635579,218534.8957469425,15458,36040,92286.61441890162,5.970152310706535,0.25292424371057753
24,4934379.210217111,223009.80435708043,15643,35934,90624.8001778964,5.7933133144471265,0.32675807910290017
25,4945887.781795374,221329.30801099818,15696,36073,92623.04666568381,5.901060567385564,0.3073071870427866
26,4920239.822304841,220295.99939510634,15512,35957,91601.44428657078,5.905198832295692,0.3600561342262887
27,4941513.980586746,220651.09352937326,15573,36402,90641.06638819644,5.820398535169617,0.6426050918165486
28,4932103.038191126,225613.03748594684,15932,36013,91946.47713430962,5.771182345864275,0.37053766779311914
29,4926345.582615688,226030.76297644607,16029,35936,92069.56017384492,5.74393662573117,0.45129361675417234
30,4900012.6138364775,223230.2125320185,15618,36082,86731.07895453472,5.553276921150898,0.35427315330131803
31,4930627.607378262,222945.1564762589,15438,36513,82996.23647311222,5.376100302701919,0.6623785227584458
32,4929983.363515649,226966.64137868854,15892,36305,86759.24382768151,5.4593030347144165,0.21365683546971106
33,4906516.682434821,228641.10577479962,16117,36039,88090.77193483383,5.465705276095664,0.3704703590549016
34,4903715.416736772,226418.7484988799,15748,36219,83260.76209577867,5.28706896721988,0.3024495471225947
35,4920910.331958721,228788.44416287472,15888,36492,81552.43102227255,5.132957642388756,0.44115938659062415
36,4853190.884288546,226281.66439081833,15744,36184,78887.70091673838,5.010651735057062,0.3441474595826441
37,4874958.824828095,236184.30975904054,16536,35771,84090.12300673823,5.0852759438037145,0.1452732276497069
38,4852178.862701492,233013.93649710485,16275,35793,82515.8326585646,5.070097244765874,0.5299973567763363
39,4864024.801704673,235745.61482853335,16504,35968,81043.92588783879,4.910562644682428,0.44053349700601274
40,4887831.605725337,229454.3767989777,15836,36620,76012.87446264799,4.800004702112149,0.4874127588148968
41,4893261.632228484,235910.06298017412,16455,36034,81855.38925025419,4.974499498648082,0.4853605127057109
42,4893602.396319587,235190.8365170786,16232,36216,78055.18319253298,4.808722473665166,0.32816460491929544
43,4887442.658377387,236146.41174370103,16210,36069,77200.540191073,4.762525613267921,0.25109614100937594
44,4870447.24497914,239229.57736486674,16598,35812,79922.8784307257,4.81521137671561,0.34762025931732665
45,4878481.7608446255,236732.10050960563,16527,35994,79433.31595162755,4.806275546174596,0.4901022421516855
46,4849634.038625808,239325.4866911051,16545,35816,77105.32929185426,4.660340241272545,0.4758663550123666
47,4855015.958818259,238969.53618628395,16526,36012,77087.57454774666,4.66462389856872,0.2810677344493859
48,4865312.391241623,243414.36373219284,16697,35918,76628.81624191068,4.589376309631112,0.38078038570108835
49,4828769.910499058,232224.49946142166,16029,36204,74556.91198218825,4.6513763791994664,0.4660265769458116
50,4864296.032535804,236944.29067335025,16283,36350,75133.55014133152,4.6142326439434695,0.46232691334547865
51,4869678.2217015065,238032.52605532407,16256,36395,74287.39702863728,4.569844797529361,0.36034578393672045
52,4849087.150883752,238530.5172853782,16320,36190,73931.62475441217,4.530124065834079,0.36549803885478716
53,4853495.974212106,234832.1735140792,16008,36624,71251.5878598632,4.450998741870515,0.272252735859651
54,4878922.794059057,236982.45410457737,15968,36797,69956.66973400555,4.381053966307963,0.3582620936152075
55,4874896.856074192,236619.46393082466,15994,36773,70307.00049634808,4.395835969510321,0.37000410841259146
56,4858974.789417929,242714.66842457492,16502,36280,72617.56499294059,4.4005311473118764,0.4277776905644635
57,4827690.701270461,233746.42370943172,15697,36590,67220.78482691987,4.282396943805814,0.28724154062712254
58,4834797.02352271,240272.7202643371,16362,36295,70972.40142315545,4.337636072800112,0.4411260472183756
59,4860108.775156951,237980.75367995177,16118,36665,68860.45619778162,4.272270517296291,0.36688631937564264
60,4859321.642204924,239610.4594980354,16202,36651,70101.86272357128,4.3267413111696875,0.2050370236530103
61,4853138.124843381,238897.11690619416,16166,36529,69963.88706727527,4.327841585257656,0.5589037781990548
62,4851235.6873454135,237904.96272183926,16077,36449,68945.59137106239,4.288461240969235,0.38935501723050386
63,4852480.418153248,239692.17728055597,16223,36404,69228.48108350346,4.267304511095571,0.5343745431669733
64,4858765.082283809,236306.14776318226,15982,36761,69227.71445216007,4.331605209120265,0.3357053974137052
