episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3870203.065530603,180901.2857500225,14030,22033,140264.77318702987,9.997489179403413,0.5840084518317155
2,3939737.8404072546,182686.4320946183,14443,23227,138874.44725381336,9.615346344513837,0.3340638396858946
3,3973920.2426004154,168543.3084233867,13361,25345,124827.02653183545,9.34264100979234,0.2751657912330683
4,4012975.5946931425,179119.3721372108,14177,25451,123595.12356440947,8.718002649672671,0.4221928148488904
5,4005737.6115574175,183294.50707021402,14252,25552,119147.39374797995,8.36004727392506,0.4206098617454952
6,3964089.731720907,182014.16884002887,14071,25849,113882.37296612322,8.093410060843096,0.29522866665979164
7,4020342.8548280485,177180.7199166708,13332,27062,103599.41810660563,7.770733431338557,0.22638767281144428
8,4006385.8190785465,174973.55809524897,13330,27153,105925.3297756119,7.946386329753331,0.632872038933465
9,4034561.4848459475,175190.66649408717,13158,27497,103259.37185558685,7.847649479828762,0.3848480351077227
10,4026371.152604578,167226.5734992396,12547,28206,97532.24347390074,7.773351675611759,0.591776927212021
11,4033019.992102958,171238.5908594973,12604,28283,93172.05881384616,7.392261092815468,0.1857062296639269
12,4034753.8936994714,161095.02722619713,11864,29034,87703.1189939158,7.392373482292297,0.5216040714894451
13,4044307.6367488736,156827.58047731553,11351,29605,81713.72506493417,7.198812885643043,0.29846925267897484
14,4025086.7200393896,162173.71643646274,11543,29416,78101.83339117466,6.766164202648762,0.4328958523257805
15,4038738.862315737,159938.56289621085,11381,29752,79129.77080917514,6.952795958982088,0.4396783962455419
16,4054737.932790229,164137.31946275497,11659,29652,79329.93051703121,6.804179648085703,0.7709467744762442
17,4040829.0991936605,160686.2842878053,11498,29685,77932.55423842891,6.7779226159705095,0.529926693330905
18,4043457.8483458394,162226.3146776673,11478,29798,74757.47391438123,6.513109767762784,0.2715773705363803
19,4054472.4114707103,161574.71798387103,11225,30132,71733.93711122757,6.390551190309806,0.23937130968932746
20,4022992.2995948726,163517.98584358513,11356,29865,71634.34756217331,6.308061602868379,0.0
21,4043020.987985974,157411.337441316,10916,30336,69839.00320742746,6.397856651468254,0.5743178171200742
22,4036199.3577424837,163565.92451083066,11418,29866,72971.52649714853,6.39092016965743,0.6276220131256242
23,4046677.6171758524,165840.42331567378,11297,30216,67980.46840524163,6.017568239819565,0.28037573355092765
24,4016465.7464256976,158882.8978265819,10813,30371,64753.03249607793,5.988442846210851,0.48815127741499653
25,4008838.6061809743,163734.39967342207,11073,30114,65232.258633546364,5.891109783576841,0.29324529280709827
26,4022226.5598113635,163478.76837731226,11083,30284,66217.28033294351,5.9746711479692785,0.4122231082129221
27,4020380.699624099,160830.90208346222,10779,30567,62525.63394813341,5.800689669555005,0.4223064790819528
28,4023738.4812227287,168949.03455079944,11398,30044,65645.15299233534,5.75935716725174,0.31696613335981677
29,4025485.885427811,167893.60096295323,11114,30329,60899.68663921752,5.479547115279604,0.3845410734372385
30,4016507.2056780346,160609.05737438696,10606,30654,58887.197030271636,5.5522531614436765,0.3490774502706116
31,4030836.47395424,167963.88458807865,11093,30402,60334.7780074454,5.438995583471144,0.5764726356008666
32,4027835.2074872325,167284.40557274566,11101,30461,60043.14000783717,5.408804612903087,0.4887575624746828
33,4013167.8152512624,168458.39683280996,11077,30414,57349.88346052597,5.177384080574702,0.6436511574611928
34,4011252.315452923,165137.44459541657,10838,30644,55859.043483689406,5.153999214217513,0.5083769558009851
35,4017799.653313409,169502.25321915996,11107,30504,57775.825248500776,5.201748919465272,0.3848226042838888
36,3994902.4510133695,168910.69274837218,11189,30339,59062.5127659338,5.27862300169218,0.2695624753829905
37,3990908.0810809797,164136.51665192342,10685,30597,54687.05377856618,5.118114532388037,0.3578734134853222
38,3999956.937052015,163874.64055452714,10737,30827,55263.793616175666,5.147042341079973,0.44148569044159314
39,3995106.3808872425,165658.00789203905,10771,30761,53829.81807474391,4.997662062458816,0.4500182230913498
40,3988396.493899806,163748.27307202073,10618,30730,52556.61641505166,4.949766096727412,0.27799248431502255
41,3981654.710843652,166477.40958224016,10812,30700,52879.2673056318,4.890794238404717,0.2509065168855581
42,3991121.9399009966,170167.57309909962,11019,30643,54098.55328767827,4.909570132287709,0.3502049444153453
43,3995439.241487379,171583.03734987017,11102,30652,52799.114831373445,4.755820107311606,0.5659504022718383
44,4015796.7835342307,169449.3107319602,11016,30883,53525.30343042432,4.858869229341351,0.3851917972373011
45,4001311.049327743,170469.2789831085,11032,30643,53026.402195774135,4.8065991838083875,0.49622573495799466
46,3998563.090543896,168728.43268969635,10810,30710,50991.6758159864,4.717083794263312,0.3891302473301185
47,3995871.59198614,168848.57305298254,10849,30824,50863.21388472086,4.688285914344259,0.6567935735313046
48,3993749.1182254343,170001.21208788938,10962,30687,52243.625923721,4.765884503167396,0.46669961082665423
49,3998941.041665155,171472.67416116252,11079,30632,52037.610321003944,4.696959140807288,0.20879283162832962
50,4004598.3722710297,166887.95189178846,10772,30956,50723.71431291314,4.70884833948321,0.4197494065280106
51,3994485.364419794,168236.37477001216,10833,30851,50218.61295281375,4.6357069097031065,0.40337864715030636
52,3987094.342489686,168748.48532189813,10796,30976,48850.087691306915,4.524832131465998,0.39104919716181913
53,3988418.9501529103,171638.8884986969,11089,30753,50554.86721480046,4.559010480187615,0.5259649991574542
54,3959124.402864735,172648.16222311807,11153,30574,50004.38492691215,4.4834918790381195,0.21624300618906006
55,3970079.956247549,171989.5839398004,11138,30695,49954.70214772813,4.485069325527754,0.3181311843916045
56,3934589.3402646603,171224.8559430717,11040,30449,48891.860051947275,4.428610511951746,0.28692621701650173
57,3952104.089404155,173462.08315827267,11255,30528,50357.66507509516,4.474248340745905,0.40603535387400064
58,3949141.62943815,170469.46668545497,11074,30580,48915.634297013734,4.4171604024755045,0.2936921627265684
59,3968554.8637186224,172940.60582426452,11210,30736,49522.575299292206,4.41771412125711,0.5984107051247578
60,3963505.693236096,170616.044532825,11024,30775,49705.44327074542,4.508839193645266,0.40435959849659353
61,3966666.1202707766,172038.3268741033,11045,30724,47687.76996957223,4.317588951523063,0.35903866190998357
62,3987835.2575692846,172982.43400552464,11120,30914,48928.23124604444,4.400020795507594,0.20886976819183709
63,3966475.7532266346,169504.96944070526,10984,30843,48426.17531075239,4.408792362595811,0.471793271727915
64,3956246.2826927896,171705.56902175982,11021,30842,47449.72992417342,4.305392425748428,0.332897374685592
65,3959364.764141967,169943.60187082927,10979,30880,48674.58941900676,4.4334264886607855,0.3986282119285544
66,3961956.8805338056,171545.4752084087,11047,30868,47260.94857885567,4.2781704153938325,0.5493156142805775
67,3937243.8690157146,171093.17123875828,11074,30695,47317.09325925874,4.27280957732154,0.5328118241372235
68,3943162.28574793,173147.70983737396,11138,30776,46782.32888407631,4.200245006650773,0.38676823190675236
69,3937316.0075895446,174101.07108620656,11236,30715,46888.60432707681,4.173069092833465,0.4350369769514154
70,3941245.226823147,170325.69055089797,10998,30878,46860.65861215607,4.260834571027102,0.49288731946602843
71,3939200.346415249,174778.12391983275,11419,30631,48879.045883062485,4.280501434719545,0.4573108633130084
72,3935666.436702275,173923.46630206355,11354,30642,48268.32787462178,4.251217885733818,0.30486711809676437
