episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3026839.279770614,147276.8399652622,11814,16520,118622.75446376218,10.040862913810917,0.22247346839494214
2,2995703.488690613,141026.26992413163,11476,17109,113905.5959886045,9.925548622220678,0.355852388906174
3,3004319.1130369627,143170.2183866587,11559,17264,110962.79381356317,9.599688019168022,0.26904794831458884
4,2992521.292431428,142179.39247664923,11487,17608,105710.28938980676,9.202602018787042,0.1577280820901804
5,3012862.541169992,133731.4959019166,10473,18771,92238.13201314984,8.80723116711065,0.0
6,3016014.1275253505,136575.70280020163,10749,18940,92697.30909144509,8.623807711549455,0.23099504668194645
7,3007534.694055733,134742.9592341599,10648,19029,90358.13851658667,8.485925856178312,0.1962915523439508
8,3002983.5611667456,130564.70039405164,10188,19446,85772.41872262901,8.418965324168532,0.4258919916540474
9,3015620.622854474,123896.31026046979,9610,20087,79517.46059772425,8.274449593935925,0.2792675106618984
10,3026959.2834961927,125654.67481379249,9695,20119,80368.2455322463,8.289659157529274,0.572052529673429
11,2998325.0232897582,127798.9667565944,9984,19891,80898.97206958757,8.102861785816064,0.3735575965064904
12,3012333.436850199,125224.79586550251,9721,20143,77683.68044411756,7.991326040954384,0.5194855835555681
13,3007018.976194359,124515.60900041895,9633,20221,77417.72681496841,8.036720317135721,0.7278782825117867
14,3016613.763415468,125274.72709697191,9564,20402,75891.9744833746,7.935170899558197,0.45642940088171474
15,3013338.609235989,117922.38447616527,8912,20994,69567.32560323204,7.806028456377024,0.7144965194467333
16,3026462.611158989,120684.37445181512,8960,21057,68322.36544328756,7.625264000366916,0.22452060873722482
17,3022195.8243846637,118711.74671728058,8641,21294,64993.52633089479,7.521528333629764,0.2909754900745539
18,3032260.0032029315,116803.97374809874,8518,21468,64610.63097171976,7.585187951598939,0.3968137335915483
19,3003412.1390078873,117197.4247228755,8265,21595,58994.12068280161,7.137824644017133,0.43413489229620994
20,3014089.781721456,116449.61244805032,8276,21702,59363.478827766165,7.172967475563818,0.6550762517682349
21,3000096.649010893,117658.44988559149,8283,21647,57671.676646975844,6.962655637688742,0.3341195183879356
22,3013965.944087695,114236.22662346424,7955,22045,54711.71923703494,6.877651695416082,0.5142702000482544
23,3011778.4940628065,112411.37035068152,7766,22213,53029.545405799625,6.8284245951325815,0.47775593638450686
24,3007916.765768231,113435.21470414738,7901,22192,55293.37959351319,6.998276116126211,0.4819209912817014
25,3000172.763629855,113685.29540161965,7681,22335,50436.2161358744,6.566360647815961,0.31227296132779825
26,3000209.028260085,113386.53330244293,7863,22239,52736.64059744158,6.7069363598425005,0.4302256791288192
27,3001633.193841143,116353.04629625806,8047,22085,53453.6096977613,6.642675493694706,0.5860682492842569
28,2991818.2762031048,115013.79360501467,7914,22188,52207.75605864315,6.596886032176289,0.5168483979650053
29,2998463.44986258,114809.8665871796,7789,22362,50411.00385728629,6.472076499844176,0.613462886182641
30,2987937.0829782095,113710.65190523531,7724,22427,49294.12083140651,6.381942106603639,0.5587262646982296
31,2985647.1726405085,114213.83975103314,7816,22295,49940.955861726085,6.389579818542232,0.49191424829779085
32,2982972.795679145,115209.07998083209,7742,22404,47008.05547103,6.071823233147765,0.40655325979693535
33,2975522.4688621894,115731.5120542813,7912,22223,48703.471920227035,6.15564609709644,0.254120013613128
34,2986677.200184842,118862.84186791544,8046,22213,47994.401571264796,5.965001438138802,0.39448403293995515
35,2983569.7394874836,119227.20080050208,8153,22090,49647.418082415905,6.089466218866172,0.30196350221764634
36,2969720.2375880345,117332.16379930307,7920,22300,46416.52778693515,5.8606727003706,0.16497386567955732
37,2969981.430776915,113550.01222559126,7594,22638,43669.72509381638,5.7505563726384485,0.4879271866813364
38,2970154.1337733306,118514.91907594225,7896,22369,44432.09879758625,5.627165501214065,0.5492935316269926
39,2958096.439739634,117343.20646953123,7737,22461,42901.46123509956,5.544973663577557,0.5069131552039069
40,2977422.1533490354,114705.35624859932,7577,22718,41757.35442497976,5.511066969114394,0.7168778443246904
41,2968122.8103595604,114645.30514280355,7564,22718,42307.02624269149,5.593208123042238,0.15187125476079225
42,2948259.540159009,119404.2625267836,7967,22239,43915.99018672264,5.512236749933807,0.5969479524958489
43,2968379.776361,118019.77296602793,7697,22686,40624.69563982653,5.2779908587536095,0.3884523451655029
44,2953691.991848929,121138.03494421515,8093,22180,44077.16019412259,5.4463314214904965,0.35560589372249596
45,2975429.614701512,118662.70362156308,7815,22485,41793.343394573334,5.3478366467784175,0.4187955090052321
46,2959426.070754965,119432.51794587816,7862,22342,41772.69513158441,5.313240286388249,0.4098741080545969
47,2963563.124185488,121245.89676877708,8032,22291,41940.24907255162,5.22164455584557,0.22605345618483194
48,2947140.0383327873,121844.0746544056,8010,22263,40733.63891214501,5.085348178794633,0.589677827179931
49,2947031.665396939,119429.81895091252,7942,22283,41425.55223182626,5.216010102219373,0.4807506778595576
50,2946179.580919438,120611.58215114761,7926,22378,40022.78590578742,5.0495566371167575,0.44302640794340536
51,2956975.324141687,119412.20448271409,7802,22487,38862.18206108351,4.981053840179891,0.5778261033330938
52,2945408.2107401937,124351.62499438201,8193,22108,41614.14752044051,5.079231968807581,0.3798557275248126
53,2951690.9285659664,122805.99230444546,8096,22183,40337.529909197045,4.9824024097328365,0.4678966780594741
54,2940859.887909899,123825.9909913393,8208,22126,40905.59965138463,4.98362568852152,0.39652635243972834
55,2963627.0333479554,122066.77525458933,8060,22376,40502.307115808435,5.025100138437771,0.3335941276125446
56,2959180.1438280405,123117.46670838255,8099,22235,41311.098795897466,5.100765377935235,0.24869173759961605
57,2943326.962306743,122519.88966725714,8026,22289,38521.827923737925,4.799629693961864,0.3842649582962302
58,2950762.004049631,123227.34005175544,7966,22348,37802.63764834311,4.745498072852512,0.5254746191897983
59,2958609.9725379315,119408.55563527446,7738,22637,37471.24383126268,4.842497264314122,0.28869572966900414
60,2965104.44528481,121358.79322407783,7872,22581,38215.73203218431,4.854640756120974,0.39676178956869024
61,2958703.9320787136,120862.7729079455,7873,22491,38247.36863418971,4.8580425040251125,0.4508490047953237
62,2946784.3415562524,124327.78885130935,8119,22277,39072.00762138436,4.8124162607937375,0.471432516955475
63,2948498.9996197345,120460.26860423962,7696,22604,35532.77843423994,4.6170450148440665,0.3526716069307678
64,2948187.7460196395,123103.06548342801,7911,22528,36550.875692156704,4.620259852377285,0.5678454818436124
65,2927534.5582781555,121248.69383022207,7960,22330,38031.96028391702,4.77788445777852,0.28070248540513176
66,2921641.607211768,124013.40507507215,8201,22151,38709.78679716936,4.720130081352196,0.3385170844804814
67,2913013.172842718,127373.8163670987,8285,22031,37604.645772304604,4.538883014158673,0.58919006778217
68,2944423.7682872145,124909.28849115624,8070,22365,36772.42499018979,4.55668215491819,0.4541803982431585
69,2930585.1129026893,122783.77168723679,7996,22336,37003.03747472,4.627693531105552,0.3753408236784353
70,2923660.506107813,123478.34577332209,8009,22363,36062.391174026,4.5027333217662635,0.41612917988802434
71,2914075.546706969,125933.00423761015,8178,22073,37004.988593252376,4.524943579512396,0.4560218718873959
72,2927728.688312567,126822.73731712883,8201,22180,36744.36822421052,4.480474115865202,0.46402873994000593
73,2927729.713398945,123806.92952105922,8016,22271,35423.358463463584,4.4190816446436605,0.39681228951440717
74,2917709.9037369797,126219.5805811795,8183,22144,36063.67590070959,4.407146022327947,0.4671446687575743
75,2921243.3511421084,128827.6851912232,8344,21941,36876.33817776162,4.419503616702016,0.47053662531868895
76,2937424.478599024,128264.64736866178,8246,22159,36095.34521974809,4.377315694851817,0.35147543166026846
77,2925335.797519846,130309.37151576104,8522,21773,38519.75593138715,4.520037072446275,0.34631339824334806
78,2936317.4898491777,129460.0428621251,8445,21955,37731.64389312799,4.467927044775369,0.5632972691696861
79,2937352.262729032,130128.26375541394,8478,21952,37435.9296323702,4.415655771687922,0.28263956994792205
80,2929473.6907778922,130157.38441139965,8374,21953,36849.9905109155,4.400524302712623,0.4217863015553817
81,2942077.10119754,127386.3549635212,8185,22313,35514.19480048879,4.338936444775661,0.38793392007476935
82,2932323.5550773856,128253.52328692647,8129,22249,34833.672522423454,4.285111640106219,0.40598368160262666
83,2909813.3169842996,125988.64086694323,7978,22350,33767.59278176954,4.232588716692096,0.39790054742932685
84,2917555.5731613287,126903.5998505271,8153,22272,34791.31404627257,4.267302103062992,0.39258906359151213
85,2923119.0601004367,126827.83061776268,8128,22294,34517.29599054308,4.246714565765635,0.3424506116588525
86,2908762.7020123694,130226.95616662731,8377,21980,35365.36730804716,4.221722252363276,0.4483722442438797
87,2925093.7918544533,128963.1017338686,8297,22235,34755.97424366233,4.18898086581443,0.43230018581921764
88,2888373.3482169136,129643.20170430535,8390,22011,34505.195883544875,4.112657435464229,0.2897105940233261
89,2903562.384963314,128275.94020443362,8305,22082,34535.97958939749,4.158456302155026,0.39262370133394875
90,2897277.6674168087,130511.44149187577,8462,21994,34978.193839426014,4.133561077691564,0.5241533212084427
91,2898380.096305126,129961.74046634398,8472,21895,36071.053759910996,4.257678677987606,0.3581833590026412
92,2906773.344429095,131799.2549203721,8532,21859,35045.307472590546,4.107513768470528,0.30646109048257963
93,2921325.37608391,131691.20772294284,8290,22102,31826.251003386107,3.839113510661774,0.5046819622178055
94,2908841.4052187153,128606.4988587493,8150,22245,31950.72088711291,3.9203338511794983,0.402094059886549
95,2903260.39257416,130300.75699327516,8236,22075,31800.784765616387,3.861192905004418,0.48349997262233746
96,2904291.6738257105,132373.75803524314,8372,21979,32363.272945729048,3.8656561091410713,0.37843616096011534
97,2898448.381793493,130871.31710379217,8329,21994,32305.59272473554,3.8786880447515357,0.3942426924272836
98,2891723.527557904,130289.17734242589,8319,21936,32454.70726367963,3.9012750647529306,0.363079456472154
99,2886132.9943230576,131261.18860074622,8425,21964,33379.83012268175,3.9619976406743915,0.3677859891599579
100,2902796.9562227298,131446.71843665876,8446,22013,34095.33512945672,4.036861843411877,0.37563513436349144
101,2893564.9161115293,131267.3309180341,8444,21956,34797.03782028005,4.1209187375983,0.460929343979069
102,2893642.744441477,131973.31485040803,8480,21941,34578.39619117767,4.077641060280386,0.3325707208777814
103,2897843.9351506373,130200.46522129871,8375,22087,33999.704860642465,4.059666252017011,0.2624555830953556
104,2897375.593951098,132728.35972979732,8502,21975,33597.414952358136,3.951707239750428,0.43869319466536627
105,2894345.8968001786,131821.79354073765,8417,21993,33415.19327046499,3.9699647464019234,0.44019653713799894
106,2901720.9612386427,135502.87369827222,8685,21758,34394.965448135874,3.960272360176842,0.4073170031284649
