episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3999488.4924898148,196565.94176118897,15511,21936,152922.15886445218,9.85894905966425,0.0
2,4277163.843373566,197304.66223165346,15862,24748,156525.78823224382,9.86797303191551,0.7144711791670071
3,4512271.524329469,211455.8905133744,16683,27248,150277.87572927392,9.007844855797753,0.6915291569043122
4,4631092.379825504,202376.179964239,16106,29180,147108.31789810426,9.133758717130526,0.06185671453666636
5,4740756.721030906,214732.08586748442,16964,30238,147232.19323353693,8.679096512233961,0.5891315753605978
6,4783816.1993346745,215767.76162414087,17215,30986,145891.5450546001,8.47467586724369,0.3191042444831826
7,4880665.796587441,221849.13208085528,17453,32109,143880.18672906005,8.243865623621156,0.023513979363947113
8,4942737.815883403,220048.0047689912,17005,33194,137229.31867407018,8.069939351606596,0.07102731664183504
9,5021334.392770141,213419.72028937933,16197,34623,127940.67197796617,7.899035128601973,0.5870048839238119
10,5010363.368217156,212219.07872143856,16215,34787,128279.96240255162,7.9111910208172445,0.23339159226737582
11,5043347.896190907,218670.407464784,16693,34940,130848.71105554514,7.838537773650341,0.45626627463952274
12,5079026.419092921,212579.1092244016,15601,36132,116558.80370700297,7.471239260752706,0.5730985472194354
13,5082467.843675359,210507.8179211595,15510,36516,114932.00902495126,7.410187558023937,0.48522625361272886
14,5128644.589070017,212175.59208110426,15158,37252,106282.58866194548,7.011649865545948,0.36504773706703375
15,5107378.452653199,211750.42629930767,15098,37043,105370.22363332708,6.979084887622671,0.6634758680410553
16,5138181.326095,216299.38698688414,15376,37206,105342.6476181983,6.8511087160638855,0.22598730070969955
17,5125574.195005472,216895.08899412784,15398,37132,105279.8761265033,6.837243546337401,0.4597190523383355
18,5141373.401905458,216401.78894855105,15255,37567,102499.58522104373,6.719081299314568,0.19551213979568538
19,5207728.186509704,217112.06663702163,15219,38165,101376.72992969336,6.661195211886022,0.7356076834268523
20,5165058.778136038,212542.26690665787,14826,38172,96814.10722494354,6.530022071020069,0.4567962214205568
21,5177549.64515143,214674.3268744318,14788,38371,94210.98860013181,6.370772829329984,0.6579600086919825
22,5131254.427820652,220175.8365637101,15135,37738,93797.15312492757,6.197367236533041,0.46920426060455994
23,5172210.885805972,217516.57695537395,14879,38499,91819.90778666077,6.17110745256138,0.42268544502646055
24,5187712.2563651055,220421.5260009429,14961,38555,89560.203374165,5.986244460541742,0.23456482388695243
25,5162403.627798972,217699.359006247,14831,38395,90136.74739545623,6.077590681373895,0.5894722690362864
26,5190804.661118322,221976.06415206596,15136,38414,91005.21443328903,6.012500953573535,0.39143940758359747
27,5187393.414728484,222695.18942666525,15002,38485,87401.42544460678,5.825984898320676,0.6320042946895259
28,5164809.142556915,222229.99154493702,15093,38277,89016.1376629477,5.8978425536969254,0.3584984586063968
