episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3479119.9049284984,168405.9074641329,13120,19177,132390.3437142634,10.090727417245686,0.21802344764076814
2,3551621.0876641283,166279.0761476753,13182,20331,128278.03159487458,9.731302654746973,0.3716199651186125
3,3580528.249141186,163416.18025561958,13020,21233,121589.05175937364,9.33863684787816,0.40390930968240446
4,3573688.779805954,161974.97205283106,13083,21567,123059.58774998039,9.406068008100618,0.41198589250596523
5,3572516.415092345,160484.19393156056,12803,22261,114698.97072468343,8.958757379105165,0.30748521336383594
6,3553985.0512390453,159587.625832366,12366,22708,105426.10147926775,8.525481277637695,0.46001924392442045
7,3560802.1217795815,150473.1792685048,11895,23283,104669.79496695474,8.799478349470764,0.0
8,3578785.0109043955,143527.5108071776,11101,24290,95698.15644124724,8.620678897508984,0.43431088582475913
9,3562400.305004927,143244.10773999407,11031,24531,90836.71362353557,8.234676241821736,0.5216454082679626
10,3532915.858526311,142279.1540372556,10855,24748,86170.36398725378,7.93831082333061,0.4152188615005
11,3510025.0281991977,137115.84236787038,10356,24966,83021.62160607707,8.016765315380173,0.22372626783183727
12,3528122.8387259603,132348.14736479882,10010,25676,80296.54435233925,8.021632802431492,0.3747982702769383
13,3537338.875429603,132496.33885041147,9983,25654,79023.58467449549,7.915815353550585,0.3740558972956389
14,3555312.156585991,132301.33074169004,9713,25993,75168.91690091392,7.73900101934664,0.5752521804019427
15,3558445.965786205,135867.63507136173,10107,25812,77046.66502093001,7.623099339163947,0.510845076188024
16,3548395.50561847,136005.1961109046,10017,25821,75078.87888349248,7.495146139911398,0.4307787064515285
17,3520939.5179929803,130869.44273375493,9658,26188,71308.0740615283,7.383316842154514,0.5485724233123325
18,3519638.9401617628,134256.15862601422,9837,26037,71531.83580877376,7.271712494538351,0.280731094368678
19,3495495.8953906666,134704.97545856016,9713,26234,67324.74302129389,6.931405644115504,0.6225511757996257
20,3484059.3044655025,138649.91686953808,9986,25975,67955.51826415921,6.80507893692762,0.30019422006394897
21,3494787.6620718814,138269.57799738125,9856,26086,65946.52791496844,6.691003238125856,0.2156639796285032
22,3494223.0420501353,140997.59708335786,10096,25926,67646.4413789413,6.700321055758844,0.5589822868388374
23,3497971.722866263,141584.43703152545,9981,26021,64553.815858104506,6.467670159112765,0.4744446960978352
24,3492569.9493056745,137486.18677194527,9677,26354,61162.27206897798,6.320375330058694,0.6166110813372909
25,3500569.6926301946,140966.08829713557,9807,26247,60421.336069855475,6.161041712027682,0.21496225050118564
26,3495081.3688375275,141606.1987526243,9926,26044,61865.77771791269,6.232699749940831,0.2961262608718629
27,3504034.4961492424,142294.96417041947,9811,26179,58654.627108290384,5.978455520160064,0.35111878371482014
28,3508447.906909528,142719.66394569774,9870,26188,59122.3380845331,5.990105175737902,0.45610414273872
29,3486057.1708832034,143796.0545697503,9968,26146,59033.09609958194,5.92226084466111,0.38976337380591375
30,3483009.461627406,142511.53318272033,9942,26163,58365.131621940964,5.870562424254774,0.32944956353944366
31,3481988.9473937303,139481.3759942091,9516,26559,54225.07984058397,5.6983059941765415,0.6767729896728247
32,3475319.504697011,141113.91926978037,9588,26516,53641.94434338801,5.5946959056516485,0.3361164324366977
33,3484879.7696167217,141801.24279256567,9643,26597,53379.37271620504,5.535556643804318,0.40529921768411176
34,3498889.901174387,143271.95855790845,9761,26598,54354.99976135323,5.56858925943584,0.4118106083543705
35,3470815.1173117454,142992.73238444762,9661,26413,52594.1262030675,5.4439629648139425,0.44762631383309737
36,3480659.986565312,142983.31301844574,9761,26476,53804.81026963204,5.512223160499134,0.3588147495004825
37,3473236.9124288,145234.3089945505,9817,26428,50845.306115149,5.179312021508506,0.2540367534235587
38,3463161.1287081265,145212.48247770598,9766,26322,51861.74222920252,5.310438483432574,0.2307060957594313
39,3491616.8361082794,145141.29690669334,9722,26575,51558.37038142543,5.3032678853554245,0.5599356570867533
40,3486777.119580048,147074.4505910244,9824,26452,50839.12173168137,5.174992032948023,0.43992128743043396
41,3473660.736624948,147751.02667937533,9880,26382,49907.081744945266,5.05132406325357,0.47053824018805246
42,3466812.6739158626,148403.77097408962,9812,26394,47726.222560245275,4.864066710175833,0.39017149076995805
43,3455620.189687326,147265.4414452596,9780,26428,47764.64019370875,4.883910040256518,0.36280497801898925
44,3465195.6200450836,146053.57974132092,9698,26525,47957.50649997788,4.945092441738284,0.41355602498715505
45,3457419.3602985363,145990.33791195802,9769,26451,48968.59036155321,5.012651280740425,0.22446428200881394
46,3452177.347337613,148868.8872218279,9952,26379,49186.6599533288,4.942389464763746,0.44090832736648977
47,3452349.482686708,148462.7171134375,9904,26415,48283.71487609455,4.8751731498479955,0.5331957154136315
48,3465861.9958766815,148652.74654030686,9835,26501,48109.63781024135,4.8916764423224555,0.46117279206065365
49,3470570.1238289094,148692.41959524347,9832,26622,46757.43229607002,4.755637947118594,0.35886404349618684
50,3455502.618092587,150159.8373949745,9914,26349,47079.2579900696,4.7487651795511,0.3102884378947435
51,3448523.7142985947,153131.06989269232,10068,26200,47136.09247173574,4.681773189485075,0.3977862433957101
52,3442587.7266769316,147878.12332561234,9725,26485,45667.75187493266,4.695912789196161,0.5346777359380495
53,3449866.6524381344,151191.17167997803,10030,26295,47662.57093166401,4.752001089896711,0.35717349491531164
54,3440390.060718083,151864.91558063735,10126,26156,47715.03672856495,4.712130824468195,0.5079764464260398
55,3465679.790743682,151831.1601071544,9970,26447,46722.41327625025,4.686300228309955,0.3191468703545096
56,3461870.05760618,146342.16465787936,9732,26572,47614.95933816539,4.892618098866152,0.42344995645337213
57,3473911.424035011,146270.2129871811,9663,26800,46167.40917549127,4.777751130652103,0.3275693982333826
58,3468937.8994522966,151652.4686233145,10121,26382,48906.24176274466,4.832155099569674,0.5388526001353982
59,3442352.8477585698,148341.29549445416,9875,26427,47970.81499753949,4.857804050383746,0.5216225368604281
60,3465679.140116285,149129.05964622757,9800,26683,46265.03905235579,4.720922352281203,0.27557744804505896
61,3451403.8820675584,148695.1899989094,9760,26648,45089.0284672491,4.619777506890277,0.4586402952267835
62,3445220.874660165,149013.50122983428,9851,26667,46075.269222323346,4.677217462422429,0.5130860010069357
63,3441460.0295445593,147870.77651159035,9647,26610,43646.84296594002,4.524395456197784,0.3991369909865283
64,3455340.1534986733,149186.5990983206,9817,26713,44925.31423950719,4.576277298513516,0.6081405373545108
65,3453865.3900800557,153430.78690275885,9963,26435,44064.83354476599,4.4228478916758,0.26443692007422637
66,3451898.91267644,150219.15654297743,9857,26590,44604.6705340286,4.525177085728782,0.35981572871598483
67,3457094.011752435,151231.79213275985,9896,26585,44079.83512786334,4.4543083193071284,0.5218424660423551
68,3442131.0750117805,151125.4771587694,9979,26368,45085.75249888175,4.518063182571575,0.3981102679034464
69,3443904.709084479,153596.32514690512,10045,26338,43699.690023662784,4.350392237298435,0.4695381440725419
70,3437447.575686174,149197.77044345136,9717,26544,42358.04560959246,4.359169044930788,0.5021925868369834
71,3427057.4642215776,155508.3461009386,10243,26079,44957.88385237248,4.389132466306012,0.47872737176697305
72,3444196.9081466976,153765.0841240287,9991,26384,42359.21784332098,4.239737548125411,0.3079012648335767
73,3436296.260418519,154138.15992092475,10030,26435,42309.49572765342,4.2182946886992445,0.4190544449555412
74,3414735.878945418,154698.84306744058,10119,26182,42634.64289851317,4.213325713856426,0.29855685106510743
75,3419447.114282965,153075.11848442137,10115,26352,42695.28992137113,4.220987634342178,0.3742398621557451
76,3428973.048180906,153452.45679683753,10083,26364,42726.47331199547,4.237476278091388,0.47276158908514015
77,3403549.508830949,151615.29100170408,10029,26328,42065.52813203756,4.194389084857669,0.41217207930306254
78,3407430.989319835,153509.2077409894,10132,26303,42186.52444692199,4.163691714066521,0.4240004172926218
79,3419580.346822676,157494.86306050123,10325,26181,42442.46614113689,4.110650473717858,0.481815826370689
80,3437111.4155879547,152455.86481100132,9995,26591,41411.21985566311,4.14319358235749,0.36055655873489545
81,3439137.0432345923,156241.63262382898,10212,26326,42338.3545915629,4.145941499369654,0.35952527477316476
82,3415103.788918157,158584.3742933865,10360,26041,42075.30018335441,4.061322411520696,0.38787862158578235
83,3427818.041123148,153144.75626977553,10023,26394,42026.157902254614,4.192971954729583,0.4681146310364009
84,3438044.821532114,159809.6195041366,10390,26144,41782.74148877318,4.021438064367005,0.308127844343272
85,3425625.7808345477,157715.122056938,10230,26153,41174.433341815646,4.024871294410132,0.5175770766388885
86,3431404.9169715988,156605.9901900969,10136,26213,41180.41928287284,4.062788011333153,0.5263091192612863
87,3448852.1890682103,153795.2442196109,9883,26567,38937.17071578353,3.939812882301278,0.37888367558284797
88,3429283.766349223,154991.65145718586,10062,26421,40281.25624091226,4.003305132271145,0.3919682837371492
89,3413259.6680882145,161720.86541660523,10423,25910,40178.43752365483,3.854786292205203,0.460884911197919
90,3419083.50052733,160689.30397402978,10376,25966,40515.85060143568,3.9047658636695917,0.38137600716226894
91,3431222.409965628,159982.5478548529,10294,26126,39243.48452909862,3.8122677801727822,0.5054717390116588
92,3426844.326452942,158840.5899939675,10191,26218,38206.36336579773,3.749029866136565,0.2681614274638688
93,3432777.897698744,156606.46501177957,10114,26325,39019.17403834438,3.8579369229132277,0.5606185406699944
94,3417445.360118638,159733.81910602664,10254,26088,38536.4224190741,3.758184359184133,0.38294711834593553
95,3436202.6259929664,161195.878465652,10287,26187,38351.69150460249,3.7281706527269844,0.36829258855140823
96,3414349.9928224306,160088.04662904263,10281,26098,39320.765558239465,3.8246051510786367,0.39752930084170207
97,3417499.6171390936,157397.93227498143,10093,26270,37878.43643374357,3.7529412893830942,0.4933445468747747
98,3435910.941939195,157847.72806344173,10202,26344,39518.297768540564,3.8735833923290106,0.46402401425824713
99,3414777.6915013175,155032.12132403624,9940,26442,37630.41594711276,3.7857561315002775,0.4731565544195877
100,3435964.5327110384,151654.52764733846,9718,26820,37095.50448726516,3.8171953578169546,0.5757458348709755
101,3436689.996830611,156240.66704937947,10095,26552,38566.639041940776,3.820370385531528,0.5402649177273724
102,3417808.5294304495,158839.51978898043,10227,26212,38035.315070660756,3.719107760893787,0.35396597383780426
103,3420385.3318521106,163395.86766080957,10509,26095,37965.43402338691,3.612659056369484,0.4541518984438683
104,3443377.3061510418,162240.73457427035,10511,26147,39259.989706046676,3.7351336415228498,0.42334816109926127
105,3430951.6991487853,160755.83491132254,10403,26072,38180.40603816895,3.6701341957290157,0.369948756414859
106,3432613.6934995567,163986.82198605099,10617,25972,38534.820397740994,3.629539455377319,0.40918291547828123
107,3446216.9284584858,163245.1633726317,10598,26152,39400.98814800545,3.7177758207214047,0.47641833634362596
108,3418396.055963811,165837.64525010626,10796,25693,40266.38659249562,3.729750518015526,0.40467570380695994
109,3438912.266521973,159672.85564480105,10259,26402,37948.85132750458,3.699078986987482,0.3868048247108391
110,3416526.311597844,158236.26887465897,10212,26248,37676.423526878134,3.6894265106617836,0.48301075263892373
111,3408119.818901832,161044.17413018623,10421,26124,37637.792609273536,3.611725612635403,0.3533063094833525
112,3423568.6089934534,156449.3073653706,10071,26475,36843.872104220434,3.6584124818012547,0.4567561058708729
113,3396408.6767387884,163554.35785262202,10534,25905,36715.253618390496,3.485404748280852,0.46665655854662685
114,3414392.3820050308,160123.3149110434,10257,26369,35400.298970824646,3.45133069814026,0.4969197216018947
115,3405814.3609382766,163282.64009748088,10523,26059,37520.647606753766,3.56558468181638,0.3898687739744041
116,3401701.1228391426,162460.26730744346,10427,26097,36896.05614330673,3.538511186660279,0.4295370131247667
117,3390324.2740349476,161022.9796412167,10316,26109,35514.62559525291,3.4426740592528993,0.3494797509916857
118,3403276.3679767326,162961.98565153382,10421,26052,37079.12396113511,3.5581157241277337,0.4732632885441932
119,3401068.1940554637,162989.1057665294,10414,26159,36761.23626749815,3.5299823571632563,0.37913059304767854
120,3396615.3765155445,164854.0028051321,10601,26016,36900.68655211797,3.480868460722382,0.45343321160092315
121,3414202.491240068,163626.280617132,10545,26183,37690.76179961481,3.5742780274646573,0.41563774267832465
122,3408494.878568129,162050.28973841004,10389,26197,35962.93332102503,3.461635703246225,0.5530290122753561
123,3416125.939854309,163700.3869779707,10460,26236,35567.60520136443,3.400344665522412,0.47870062622342324
124,3384044.216745725,164654.21333229903,10567,25809,36382.64022013622,3.4430434579479723,0.38248367481280293
125,3423716.0498540965,159743.96933005593,10132,26395,35625.4216154103,3.516129255370144,0.3677294409753724
126,3442056.024606431,163975.0857151189,10411,26318,36176.79298997281,3.474862452211393,0.39972818597603577
127,3427055.489331684,160600.83570406606,10217,26314,36001.22819994238,3.523659410780305,0.37259029314046066
128,3425151.4456863245,162015.1369764994,10370,26255,37003.71032604214,3.5683423650956745,0.4509520203426918
