episode,hotel_revenue,ota_profit,bookings_online,bookings_offline,total_subsidy,avg_subsidy_amount,avg_subsidy_ratio
1,3248948.1384416427,161200.72144881313,12469,17856,121060.53462620998,9.708920893913705,0.25985730875841473
2,3238656.9138050033,153572.50518110243,12329,18705,119740.5815553383,9.712108164112118,0.18973653518092642
3,3214851.1407802734,159564.77916861908,12894,18388,118708.42294209819,9.206485415084394,0.25905089110646495
4,3216554.100055433,152509.02416402788,12006,19645,105211.64293573545,8.763255283669453,0.17491716928088707
5,3227400.296543383,141557.56199045584,11157,20629,97099.32650377357,8.702996011810843,0.36918501291641026
6,3250883.044987514,144497.6776494107,11247,20972,95971.66017410651,8.533089728292568,0.38479234742032054
7,3235350.529205145,145563.22938990637,11337,20787,96098.47645605885,8.476534925999722,0.5044064772341188
8,3234156.9868283593,140650.80008810482,10830,21280,90513.33947256528,8.357649074105751,0.2389065050274858
9,3243637.860277553,140306.88422849824,10783,21467,88768.41722983283,8.23225607250606,0.2694165655247053
10,3234822.549899746,139679.8580296018,10974,21419,91538.62899137533,8.341409603733855,0.5730629252981116
11,3228152.7392253117,142043.16986458548,11126,21427,89059.26570674201,8.004607739236205,0.17443645322489265
12,3237676.611032862,140354.6896096486,10919,21535,88402.90982972748,8.096245977628673,0.6472477097454796
13,3267762.607563529,135685.22860056369,10169,22378,78636.9645010719,7.733008604687963,0.39357190164789574
14,3238028.917952604,133401.68801439565,10002,22505,77381.22006489859,7.7365746915515485,0.37770568140485966
15,3236231.0245114397,130460.01836897095,10059,22446,81577.33998585769,8.109885673114395,0.6240317361735906
16,3237206.0576633797,132753.14331282664,10007,22588,76530.56315669054,7.647702923622518,0.3515915101201452
17,3249662.1656460078,133142.45683990305,10002,22677,76670.76164932006,7.665543056320742,0.47168097556618593
18,3245767.443870813,132177.1686983694,9820,22823,74520.06674887489,7.588601501922087,0.6261026407195833
19,3248114.259865324,129880.41176557577,9835,22839,75810.17395619836,7.708202740843758,0.3214544743713339
20,3242867.126756852,132153.66293080774,9738,22964,69916.6568673389,7.179775813035418,0.32859375864369833
21,3251342.557335419,132456.04173520417,9830,22973,71539.24189684547,7.2776441400656635,0.308474108397355
22,3228809.449583018,135670.22739502107,10040,22742,71614.89861265665,7.132958029149068,0.3213093790710031
23,3235739.019698071,132295.22438994917,9653,23086,67682.10599695356,7.011509996576562,0.26091472806166627
